year,anomaly,scenario,anomaly_smooth
1950,4.8041,historical,5.3952
1951,6.0334,historical,5.2641
1952,5.3481,historical,5.5113
1953,4.8708,historical,5.4986
1954,6.4999,historical,5.2122
1955,4.7407,historical,5.437
1956,4.6015,historical,5.6048
1957,6.472,historical,5.1703
1958,5.7102,historical,5.3905
1959,4.3272,historical,5.499
1960,5.8417,historical,5.0587
1961,5.1441,historical,5.1904
1962,4.2702,historical,5.2931
1963,6.3689,historical,5.1661
1964,4.8405,historical,5.0377
1965,5.207,historical,5.2522
1966,4.5019,historical,5.0295
1967,5.3429,historical,5.4093
1968,5.2554,historical,5.5083
1969,6.7395,historical,5.6189
1970,5.7018,historical,5.3776
1971,5.0551,historical,5.4373
1972,4.1361,historical,5.0461
1973,5.554,historical,5.194
1974,4.7833,historical,5.0349
1975,6.4414,historical,5.3191
1976,4.2599,historical,5.1878
1977,5.5569,historical,5.5491
1978,4.8978,historical,5.4157
1979,6.5896,historical,5.6493
1980,5.7742,historical,5.771
1981,5.4279,historical,5.7156
1982,6.1654,historical,5.2482
1983,4.6208,historical,4.9043
1984,4.2526,historical,4.8376
1985,4.0547,historical,4.4498
1986,5.0943,historical,4.4425
1987,4.2265,historical,4.5865
1988,4.5845,historical,4.7686
1989,4.9724,historical,5.0714
1990,4.9652,historical,5.4169
1991,6.6085,historical,5.622
1992,5.9538,historical,5.4117
1993,5.6098,historical,5.6628
1994,3.9211,historical,5.58
1995,6.2207,historical,5.6084
1996,6.1944,historical,5.4098
1997,6.0961,historical,5.8736
1998,4.6168,historical,6.0362
1999,6.2398,historical,5.5584
2000,7.034,historical,5.5518
2001,3.8052,historical,5.896
2002,6.0633,historical,5.7173
2003,6.3378,historical,5.5618
2004,5.3461,historical,6.0037
2005,6.2568,historical,5.5648
2006,6.0144,historical,5.4901
2007,3.8687,historical,5.4051
2008,5.9644,historical,5.2805
2009,4.921,historical,5.3398
2010,5.6338,historical,5.7157
2011,6.3112,historical,5.6026
2012,5.748,historical,5.8536
2013,5.3991,historical,5.9085
2014,6.1758,historical,5.7743
2015,5.3726,ssp119,5.4127
2016,4.63,ssp119,5.3477
2017,6.2355,ssp119,5.3327
2018,5.1526,ssp119,5.5614
2019,5.273,ssp119,6.1331
2020,6.5157,ssp119,5.9362
2021,7.4889,ssp119,6.182
2022,5.2508,ssp119,6.4001
2023,6.3816,ssp119,6.1685
2024,6.3636,ssp119,5.6656
2025,5.3575,ssp119,5.549
2026,4.9747,ssp119,5.2141
2027,4.6674,ssp119,5.1172
2028,4.7074,ssp119,5.1769
2029,5.8791,ssp119,5.3559
2030,5.6558,ssp119,5.5408
2031,5.8698,ssp119,6.0733
2032,5.5918,ssp119,6.0792
2033,7.3699,ssp119,6.0472
2034,5.909,ssp119,5.9774
2035,5.4954,ssp119,6.1779
2036,5.521,ssp119,5.9059
2037,6.5943,ssp119,5.9648
2038,6.01,ssp119,6.1906
2039,6.2032,ssp119,6.3674
2040,6.6246,ssp119,6.4957
2041,6.405,ssp119,6.4852
2042,7.2359,ssp119,6.4829
2043,5.9572,ssp119,6.6863
2044,6.1917,ssp119,6.9299
2045,7.6418,ssp119,6.7978
2046,7.6228,ssp119,7.142
2047,6.5755,ssp119,7.2863
2048,7.6783,ssp119,7.0918
2049,6.9132,ssp119,6.959
2050,6.669,ssp119,7.0869
2015,5.3653,ssp245,5.9211
2016,5.3492,ssp245,5.7913
2017,7.0487,ssp245,5.6309
2018,5.4021,ssp245,5.86
2019,4.9892,ssp245,6.3281
2020,6.511,ssp245,6.3974
2021,7.6894,ssp245,6.7499
2022,7.3954,ssp245,7.1934
2023,7.1646,ssp245,7.0566
2024,7.2067,ssp245,6.5938
2025,5.8267,ssp245,6.408
2026,5.3755,ssp245,6.2025
2027,6.4667,ssp245,5.9073
2028,6.1371,ssp245,6.0052
2029,5.7306,ssp245,6.3415
2030,6.3163,ssp245,6.3739
2031,7.0568,ssp245,6.8022
2032,6.6289,ssp245,6.7379
2033,8.2781,ssp245,6.8254
2034,5.4091,ssp245,6.7764
2035,6.7538,ssp245,6.7875
2036,6.8121,ssp245,6.514
2037,6.6844,ssp245,6.4715
2038,6.9107,ssp245,6.6173
2039,5.1964,ssp245,6.5556
2040,7.4828,ssp245,6.7736
2041,6.5039,ssp245,6.5053
2042,7.774,ssp245,6.6834
2043,5.5693,ssp245,6.5549
2044,6.0871,ssp245,6.4605
2045,6.8399,ssp245,6.2372
2046,6.0323,ssp245,6.4818
2047,6.6573,ssp245,6.3953
2048,6.7922,ssp245,6.4373
2049,5.6548,ssp245,6.5386
2050,7.05,ssp245,6.499
2015,6.2714,ssp585,5.9799
2016,5.271,ssp585,5.8556
2017,6.3972,ssp585,5.8674
2018,5.4826,ssp585,5.7865
2019,5.9145,ssp585,5.7885
2020,5.8672,ssp585,5.7793
2021,5.2809,ssp585,5.6638
2022,6.3511,ssp585,5.6785
2023,4.9055,ssp585,5.5038
2024,5.9878,ssp585,5.7228
2025,4.9936,ssp585,5.8607
2026,6.3759,ssp585,5.8447
2027,7.0406,ssp585,5.7657
2028,4.8258,ssp585,6.0836
2029,5.5927,ssp585,5.9625
2030,6.5829,ssp585,5.776
2031,5.7708,ssp585,6.141
2032,6.1079,ssp585,6.2121
2033,6.6508,ssp585,6.3618
2034,5.9483,ssp585,6.1836
2035,7.3314,ssp585,6.1262
2036,4.8795,ssp585,6.0128
2037,5.821,ssp585,5.9675
2038,6.0838,ssp585,5.7135
2039,5.7216,ssp585,6.0603
2040,6.0616,ssp585,6.4094
2041,6.6135,ssp585,6.4014
2042,7.5667,ssp585,6.6558
2043,6.0437,ssp585,6.7917
2044,6.9934,ssp585,6.7312
2045,6.7411,ssp585,6.2604
2046,6.311,ssp585,6.5299
2047,5.2126,ssp585,6.5481
