year,anomaly,scenario,anomaly_smooth
1950,-0.5942,historical,-0.0031
1951,0.6351,historical,-0.1342
1952,-0.0502,historical,0.113
1953,-0.5275,historical,0.1003
1954,1.1016,historical,-0.1861
1955,-0.6576,historical,0.0387
1956,-0.7968,historical,0.2065
1957,1.0737,historical,-0.228
1958,0.3119,historical,-0.0078
1959,-1.0711,historical,0.1007
1960,0.4434,historical,-0.3396
1961,-0.2542,historical,-0.2079
1962,-1.1281,historical,-0.1052
1963,0.9706,historical,-0.2322
1964,-0.5578,historical,-0.3606
1965,-0.1913,historical,-0.1461
1966,-0.8964,historical,-0.3688
1967,-0.0554,historical,0.011
1968,-0.1429,historical,0.11
1969,1.3412,historical,0.2206
1970,0.3035,historical,-0.0207
1971,-0.3432,historical,0.039
1972,-1.2622,historical,-0.3522
1973,0.1557,historical,-0.2043
1974,-0.615,historical,-0.3634
1975,1.0431,historical,-0.0792
1976,-1.1384,historical,-0.2105
1977,0.1586,historical,0.1508
1978,-0.5005,historical,0.0174
1979,1.1913,historical,0.251
1980,0.3759,historical,0.3727
1981,0.0296,historical,0.3173
1982,0.7671,historical,-0.1501
1983,-0.7775,historical,-0.494
1984,-1.1457,historical,-0.5607
1985,-1.3436,historical,-0.9485
1986,-0.304,historical,-0.9558
1987,-1.1718,historical,-0.8118
1988,-0.8138,historical,-0.6297
1989,-0.4259,historical,-0.3269
1990,-0.4331,historical,0.0186
1991,1.2102,historical,0.2237
1992,0.5555,historical,0.0134
1993,0.2115,historical,0.2645
1994,-1.4772,historical,0.1817
1995,0.8224,historical,0.2101
1996,0.7961,historical,0.0115
1997,0.6978,historical,0.4753
1998,-0.7815,historical,0.6379
1999,0.8415,historical,0.1601
2000,1.6357,historical,0.1535
2001,-1.5931,historical,0.4977
2002,0.665,historical,0.319
2003,0.9395,historical,0.1635
2004,-0.0522,historical,0.6054
2005,0.8585,historical,0.1665
2006,0.6161,historical,0.0918
2007,-1.5296,historical,0.0068
2008,0.5661,historical,-0.1178
2009,-0.4773,historical,-0.0585
2010,0.2355,historical,0.3174
2011,0.9129,historical,0.2043
2012,0.3497,historical,0.4553
2013,0.0008,historical,0.5102
2014,0.7775,historical,0.376
2015,-0.0257,ssp119,0.0144
2016,-0.7683,ssp119,-0.0506
2017,0.8372,ssp119,-0.0656
2018,-0.2457,ssp119,0.1631
2019,-0.1253,ssp119,0.7348
2020,1.1174,ssp119,0.5379
2021,2.0906,ssp119,0.7837
2022,-0.1475,ssp119,1.0018
2023,0.9833,ssp119,0.7702
2024,0.9653,ssp119,0.2673
2025,-0.0408,ssp119,0.1507
2026,-0.4236,ssp119,-0.1842
2027,-0.7309,ssp119,-0.2811
2028,-0.6909,ssp119,-0.2214
2029,0.4808,ssp119,-0.0424
2030,0.2575,ssp119,0.1425
2031,0.4715,ssp119,0.675
2032,0.1935,ssp119,0.6809
2033,1.9716,ssp119,0.6489
2034,0.5107,ssp119,0.5791
2035,0.0971,ssp119,0.7796
2036,0.1227,ssp119,0.5076
2037,1.196,ssp119,0.5665
2038,0.6117,ssp119,0.7923
2039,0.8049,ssp119,0.9691
2040,1.2263,ssp119,1.0974
2041,1.0067,ssp119,1.0869
2042,1.8376,ssp119,1.0846
2043,0.5589,ssp119,1.288
2044,0.7934,ssp119,1.5316
2045,2.2435,ssp119,1.3995
2046,2.2245,ssp119,1.7437
2047,1.1772,ssp119,1.888
2048,2.28,ssp119,1.6935
2049,1.5149,ssp119,1.5607
2050,1.2707,ssp119,1.6886
2015,-0.033,ssp245,0.5228
2016,-0.0491,ssp245,0.393
2017,1.6504,ssp245,0.2326
2018,0.0038,ssp245,0.4617
2019,-0.4091,ssp245,0.9298
2020,1.1127,ssp245,0.9991
2021,2.2911,ssp245,1.3516
2022,1.9971,ssp245,1.7951
2023,1.7663,ssp245,1.6583
2024,1.8084,ssp245,1.1955
2025,0.4284,ssp245,1.0097
2026,-0.0228,ssp245,0.8042
2027,1.0684,ssp245,0.509
2028,0.7388,ssp245,0.6069
2029,0.3323,ssp245,0.9432
2030,0.918,ssp245,0.9756
2031,1.6585,ssp245,1.4039
2032,1.2306,ssp245,1.3396
2033,2.8798,ssp245,1.4271
2034,0.0108,ssp245,1.3781
2035,1.3555,ssp245,1.3892
2036,1.4138,ssp245,1.1157
2037,1.2861,ssp245,1.0732
2038,1.5124,ssp245,1.219
2039,-0.2019,ssp245,1.1573
2040,2.0845,ssp245,1.3753
2041,1.1056,ssp245,1.107
2042,2.3757,ssp245,1.2851
2043,0.171,ssp245,1.1566
2044,0.6888,ssp245,1.0622
2045,1.4416,ssp245,0.8389
2046,0.634,ssp245,1.0835
2047,1.259,ssp245,0.997
2048,1.3939,ssp245,1.039
2049,0.2565,ssp245,1.1403
2050,1.6517,ssp245,1.1007
2015,0.8731,ssp585,0.5816
2016,-0.1273,ssp585,0.4573
2017,0.9989,ssp585,0.4691
2018,0.0843,ssp585,0.3882
2019,0.5162,ssp585,0.3902
2020,0.4689,ssp585,0.381
2021,-0.1174,ssp585,0.2655
2022,0.9528,ssp585,0.2802
2023,-0.4928,ssp585,0.1055
2024,0.5895,ssp585,0.3245
2025,-0.4047,ssp585,0.4624
2026,0.9776,ssp585,0.4464
2027,1.6423,ssp585,0.3674
2028,-0.5725,ssp585,0.6853
2029,0.1944,ssp585,0.5642
2030,1.1846,ssp585,0.3777
2031,0.3725,ssp585,0.7427
2032,0.7096,ssp585,0.8138
2033,1.2525,ssp585,0.9635
2034,0.55,ssp585,0.7853
2035,1.9331,ssp585,0.7279
2036,-0.5188,ssp585,0.6145
2037,0.4227,ssp585,0.5692
2038,0.6855,ssp585,0.3152
2039,0.3233,ssp585,0.662
2040,0.6633,ssp585,1.0111
2041,1.2152,ssp585,1.0031
2042,2.1684,ssp585,1.2575
2043,0.6454,ssp585,1.3934
2044,1.5951,ssp585,1.3329
2045,1.3428,ssp585,0.8621
2046,0.9127,ssp585,1.1316
2047,-0.1857,ssp585,1.1498
2048,1.9931,ssp585,1.1893
2049,1.686,ssp585,1.2584
2050,1.5404,ssp585,1.7398
